Watson,1.341383751,103.6916012
Fu-Xing Paediatric & Family Clinic,1.283450635,103.8158642
Chien Chi Tow,1.307947418,103.8949565
Luminous,1.323672119,103.9237243
Minmed Clinic (Sengkang),1.391997958,103.8949213
Mao Medical Center & Surgery,1.277380628,103.8318568
YSL Bedok Clinic & Surgery,1.33172914,103.9258356
Wong Pang Ong Bone Injury Specialists,1.310526948,103.9016922
Healthserve Community Clinic,1.326911976,103.7244262
Watsons,1.264987482,103.822777
Prohealth Medical Group,1.334492989,103.7204337
Wan's Dentist,1.310845461,103.9011759
Chiew Clinic,1.362033492,103.885093
My Family Clinic,1.341616349,103.697195
Atrio Family Clinic,1.373878043,103.8549641
Watsons,1.301855199,103.9052333
Oliver Dental Surgery,1.306583179,103.8956004
The Family Doctor,1.352359434,103.8349451
Dental Surgery,1.36923866,103.8498585
SATA CommHealth Uttamram Medical Centre,1.327734828,103.9213776
Kang Clinic,1.373965718,103.85489
Guardian,1.301004184,103.8448923
Wong Clinic,1.331228824,103.9252281
Your River Valley Dentist is Here,1.294138819,103.842245
Jurpoint Medicare Clinic,1.340073576,103.7059078
Medivene Clinic & Surgery,1.39679425,103.8893206
Low & Lee Clinic & Surgery,1.327287737,103.9192109
Shenton Medical Group,1.382839136,103.8934087
International Medical Clinic,1.305029845,103.904631
Bedok Family Clinic & Surgery,1.327535255,103.9347243
New World Clinic & Surgery,1.307250881,103.8578753
Family Medical Clinic,1.347674537,103.7570747
Tampines Family Medicine Clinic,1.353638932,103.9396651
NEUGen Dental,1.333610291,103.9148518
Toof Doctor,1.275941539,103.8411716
Medical Clinic,1.29387722,103.8513542
马光中医诊所,1.334270365,103.7432411
Acumed Medical Group,1.38988949,103.8927627
Immanuel Dialysis Centre,1.372275842,103.8553457
Central Clinic Surgery,1.30241402,103.9072184
Rochor Dental Clinic,1.301751682,103.8525453
Thomson Paediatric Centre,1.406027587,103.9021657
National Neuroscience Institute,1.322071846,103.8455834
Lim Clinic,1.318161689,103.9071018
Lifeline Neighbourhood Medical Clinic,1.348029762,103.7571577
Drs Tang & Partners,1.332296176,103.7223379
Sunnyvale Clinic & Surgery,1.348684054,103.7241023
"Drs. Koo, Koh & Associates P.L. Medical Clinic",1.283715755,103.8163966
Bedok Polyclinic,1.326937793,103.9316066
Sata,1.327875895,103.9211969
Eu Yan Sang Premier TCM Centre,1.264247443,103.8204666
Yap Medicare Clinic & Surgery,1.316655377,103.8056323
Joy Family Clinic,1.337114261,103.9199923
